label,dataset,model,epoch,loss,val_acc,test_acc
randn_vecs,HCPAge,MBPGNN,0,0.28920357491346016,0.4392523364485981,0.3474178403755869
randn_vecs,HCPAge,MBPGNN,1,0.2849576084405784,0.411214953271028,0.37089201877934275
randn_vecs,HCPAge,MBPGNN,2,0.28737840756473926,0.3925233644859813,0.40375586854460094
randn_vecs,HCPAge,MBPGNN,3,0.2751202262888019,0.42990654205607476,0.3615023474178404
randn_vecs,HCPAge,MBPGNN,4,0.2806053462444536,0.411214953271028,0.41784037558685444
randn_vecs,HCPAge,MBPGNN,5,0.28229299807708536,0.37383177570093457,0.4131455399061033
randn_vecs,HCPAge,MBPGNN,6,0.284732184394094,0.37383177570093457,0.38497652582159625
randn_vecs,HCPAge,MBPGNN,7,0.2807288989124682,0.35514018691588783,0.43661971830985913
randn_vecs,HCPAge,MBPGNN,8,0.2793008355486313,0.40186915887850466,0.40375586854460094
randn_vecs,HCPAge,MBPGNN,9,0.28046145863180993,0.3364485981308411,0.38967136150234744
randn_vecs,HCPAge,MBPGNN,10,0.2709015602233426,0.3925233644859813,0.39436619718309857
randn_vecs,HCPAge,MBPGNN,11,0.27781754708130085,0.3925233644859813,0.3755868544600939
randn_vecs,HCPAge,MBPGNN,12,0.27301392827258014,0.32710280373831774,0.37089201877934275
randn_vecs,HCPAge,MBPGNN,13,0.2735090242136245,0.45794392523364486,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,14,0.27526905864677176,0.37383177570093457,0.38028169014084506
randn_vecs,HCPAge,MBPGNN,15,0.2729022507699544,0.4392523364485981,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,16,0.2664233289308996,0.411214953271028,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,17,0.27510763254741694,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,MBPGNN,18,0.27159889088381056,0.38317757009345793,0.41784037558685444
randn_vecs,HCPAge,MBPGNN,19,0.26982350309423153,0.4766355140186916,0.39436619718309857
randn_vecs,HCPAge,MBPGNN,20,0.2691975037523564,0.45794392523364486,0.38497652582159625
randn_vecs,HCPAge,MBPGNN,21,0.2691532851065565,0.5046728971962616,0.39436619718309857
randn_vecs,HCPAge,MBPGNN,22,0.2681500163654353,0.4672897196261682,0.39906103286384975
randn_vecs,HCPAge,MBPGNN,23,0.26307103865898696,0.411214953271028,0.43661971830985913
randn_vecs,HCPAge,MBPGNN,24,0.26505181101344577,0.4672897196261682,0.39906103286384975
randn_vecs,HCPAge,MBPGNN,25,0.26729932831437797,0.411214953271028,0.431924882629108
randn_vecs,HCPAge,MBPGNN,26,0.2822540083987601,0.48598130841121495,0.39436619718309857
randn_vecs,HCPAge,MBPGNN,27,0.26376923890721876,0.4205607476635514,0.4460093896713615
randn_vecs,HCPAge,MBPGNN,28,0.2611813017985965,0.42990654205607476,0.4131455399061033
randn_vecs,HCPAge,MBPGNN,29,0.26647722657094863,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,MBPGNN,30,0.2627169151434162,0.45794392523364486,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,31,0.2665801955549509,0.4485981308411215,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,32,0.2630485365854814,0.4205607476635514,0.4225352112676056
randn_vecs,HCPAge,MBPGNN,33,0.26786812439860913,0.45794392523364486,0.4225352112676056
randn_vecs,HCPAge,MBPGNN,34,0.2581021536116632,0.48598130841121495,0.39906103286384975
randn_vecs,HCPAge,MBPGNN,35,0.2636548079900293,0.4766355140186916,0.4084507042253521
randn_vecs,HCPAge,MBPGNN,36,0.26561911714157,0.42990654205607476,0.4272300469483568
randn_vecs,HCPAge,MBPGNN,37,0.2662724822959644,0.4672897196261682,0.40375586854460094
randn_vecs,HCPAge,MBPGNN,38,0.2699371628313257,0.42990654205607476,0.4225352112676056
randn_vecs,HCPAge,MBPGNN,39,0.2596899279812038,0.38317757009345793,0.431924882629108
randn_vecs,HCPAge,MBPGNN,40,0.2629581477818073,0.4205607476635514,0.431924882629108
randn_vecs,HCPAge,MBPGNN,41,0.25500586408896736,0.4485981308411215,0.4272300469483568
randn_vecs,HCPAge,MBPGNN,42,0.2593111210221412,0.4672897196261682,0.4225352112676056
randn_vecs,HCPAge,MBPGNN,43,0.261406728965324,0.411214953271028,0.43661971830985913
randn_vecs,HCPAge,MBPGNN,44,0.2550795476708636,0.4766355140186916,0.39906103286384975
randn_vecs,HCPAge,MBPGNN,45,0.2571026150012176,0.45794392523364486,0.4225352112676056
randn_vecs,HCPAge,MBPGNN,46,0.25732657621370864,0.48598130841121495,0.4272300469483568
randn_vecs,HCPAge,MBPGNN,47,0.25564560506167827,0.4953271028037383,0.431924882629108
randn_vecs,HCPAge,MBPGNN,48,0.26676853655168675,0.4766355140186916,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,49,0.2553363954460861,0.4766355140186916,0.4460093896713615
randn_vecs,HCPAge,MBPGNN,50,0.2590275001205854,0.4953271028037383,0.4225352112676056
randn_vecs,HCPAge,MBPGNN,51,0.25672657665790327,0.5046728971962616,0.41784037558685444
randn_vecs,HCPAge,MBPGNN,52,0.2511716347412775,0.45794392523364486,0.4131455399061033
randn_vecs,HCPAge,MBPGNN,53,0.25105346665286377,0.4205607476635514,0.4460093896713615
randn_vecs,HCPAge,MBPGNN,54,0.2545997434014442,0.42990654205607476,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,55,0.25241629229295975,0.4672897196261682,0.460093896713615
randn_vecs,HCPAge,MBPGNN,56,0.2571762335380452,0.4672897196261682,0.4225352112676056
randn_vecs,HCPAge,MBPGNN,57,0.2579701884480931,0.4672897196261682,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,58,0.24545150851243294,0.4672897196261682,0.45539906103286387
randn_vecs,HCPAge,MBPGNN,59,0.25554912626343285,0.411214953271028,0.4507042253521127
randn_vecs,HCPAge,MBPGNN,60,0.254295603620926,0.4205607476635514,0.4507042253521127
randn_vecs,HCPAge,MBPGNN,61,0.2526453680640099,0.45794392523364486,0.41784037558685444
randn_vecs,HCPAge,MBPGNN,62,0.2527983344641308,0.411214953271028,0.4225352112676056
randn_vecs,HCPAge,MBPGNN,63,0.2534791235155707,0.45794392523364486,0.431924882629108
randn_vecs,HCPAge,MBPGNN,64,0.25586894678589484,0.48598130841121495,0.40375586854460094
randn_vecs,HCPAge,MBPGNN,65,0.2530888561434394,0.4766355140186916,0.431924882629108
randn_vecs,HCPAge,MBPGNN,66,0.25045251630296644,0.5046728971962616,0.4084507042253521
randn_vecs,HCPAge,MBPGNN,67,0.241376936275687,0.4485981308411215,0.4272300469483568
randn_vecs,HCPAge,MBPGNN,68,0.24961229618763764,0.42990654205607476,0.4272300469483568
randn_vecs,HCPAge,MBPGNN,69,0.24868126611581584,0.40186915887850466,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,70,0.2433195927399117,0.45794392523364486,0.4131455399061033
randn_vecs,HCPAge,MBPGNN,71,0.25065223706648654,0.4392523364485981,0.4460093896713615
randn_vecs,HCPAge,MBPGNN,72,0.2453561866043398,0.45794392523364486,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,73,0.2518816063068057,0.45794392523364486,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,74,0.24723521943060345,0.4392523364485981,0.4272300469483568
randn_vecs,HCPAge,MBPGNN,75,0.23884888927408512,0.4485981308411215,0.43661971830985913
randn_vecs,HCPAge,MBPGNN,76,0.2461282036448485,0.4392523364485981,0.4507042253521127
randn_vecs,HCPAge,MBPGNN,77,0.2452536535743099,0.4392523364485981,0.4507042253521127
randn_vecs,HCPAge,MBPGNN,78,0.24688593945247214,0.4392523364485981,0.4272300469483568
randn_vecs,HCPAge,MBPGNN,79,0.24963176834503276,0.48598130841121495,0.4272300469483568
randn_vecs,HCPAge,MBPGNN,80,0.24407670521896158,0.4392523364485981,0.431924882629108
randn_vecs,HCPAge,MBPGNN,81,0.248305641964778,0.45794392523364486,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,82,0.24224949995143302,0.4953271028037383,0.4272300469483568
randn_vecs,HCPAge,MBPGNN,83,0.24662364257262057,0.514018691588785,0.4460093896713615
randn_vecs,HCPAge,MBPGNN,84,0.2449569908964554,0.4672897196261682,0.4272300469483568
randn_vecs,HCPAge,MBPGNN,85,0.24527847518856893,0.45794392523364486,0.41784037558685444
randn_vecs,HCPAge,MBPGNN,86,0.24024908750649265,0.5046728971962616,0.4225352112676056
randn_vecs,HCPAge,MBPGNN,87,0.24545829360117047,0.45794392523364486,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,88,0.2417696977621757,0.4953271028037383,0.4084507042253521
randn_vecs,HCPAge,MBPGNN,89,0.24265611203724907,0.48598130841121495,0.4131455399061033
randn_vecs,HCPAge,MBPGNN,90,0.2423676669997657,0.4953271028037383,0.4225352112676056
randn_vecs,HCPAge,MBPGNN,91,0.2360108709975377,0.411214953271028,0.431924882629108
randn_vecs,HCPAge,MBPGNN,92,0.24109897565521649,0.4485981308411215,0.4507042253521127
randn_vecs,HCPAge,MBPGNN,93,0.24519646927814356,0.42990654205607476,0.45539906103286387
randn_vecs,HCPAge,MBPGNN,94,0.24339182868899914,0.4766355140186916,0.4507042253521127
randn_vecs,HCPAge,MBPGNN,95,0.24573542423696326,0.45794392523364486,0.460093896713615
randn_vecs,HCPAge,MBPGNN,96,0.23864508331222023,0.45794392523364486,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,97,0.24381686061020666,0.5046728971962616,0.4413145539906103
randn_vecs,HCPAge,MBPGNN,98,0.23560029576288774,0.4392523364485981,0.43661971830985913
randn_vecs,HCPAge,MBPGNN,99,0.23846448547888122,0.45794392523364486,0.4272300469483568
randn_vecs,HCPAge,GCNConv,0,0.282915319532356,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,GCNConv,1,0.27881862925203055,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,GCNConv,2,0.28591230931698075,0.4392523364485981,0.431924882629108
randn_vecs,HCPAge,GCNConv,3,0.28243408099116896,0.4672897196261682,0.4131455399061033
randn_vecs,HCPAge,GCNConv,4,0.28696392862588765,0.4672897196261682,0.4131455399061033
randn_vecs,HCPAge,GCNConv,5,0.2804833110546906,0.4205607476635514,0.43661971830985913
randn_vecs,HCPAge,GCNConv,6,0.27606818291964946,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,GCNConv,7,0.28069664287887164,0.45794392523364486,0.45539906103286387
randn_vecs,HCPAge,GCNConv,8,0.27217898592852907,0.4392523364485981,0.40375586854460094
randn_vecs,HCPAge,GCNConv,9,0.2783849624979416,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,GCNConv,10,0.27440167289452266,0.4392523364485981,0.43661971830985913
randn_vecs,HCPAge,GCNConv,11,0.27161250346459,0.45794392523364486,0.4413145539906103
randn_vecs,HCPAge,GCNConv,12,0.27576162191045367,0.4392523364485981,0.4413145539906103
randn_vecs,HCPAge,GCNConv,13,0.26942066858278824,0.4485981308411215,0.4131455399061033
randn_vecs,HCPAge,GCNConv,14,0.2726888731022009,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,GCNConv,15,0.2712823214146915,0.4485981308411215,0.41784037558685444
randn_vecs,HCPAge,GCNConv,16,0.26931598266499157,0.411214953271028,0.43661971830985913
randn_vecs,HCPAge,GCNConv,17,0.27263265880162285,0.4392523364485981,0.4272300469483568
randn_vecs,HCPAge,GCNConv,18,0.2740195734388876,0.4392523364485981,0.4460093896713615
randn_vecs,HCPAge,GCNConv,19,0.27248310306728285,0.4485981308411215,0.4225352112676056
randn_vecs,HCPAge,GCNConv,20,0.2715652920255725,0.4485981308411215,0.43661971830985913
randn_vecs,HCPAge,GCNConv,21,0.25922386006220877,0.4485981308411215,0.431924882629108
randn_vecs,HCPAge,GCNConv,22,0.27114550675321747,0.4205607476635514,0.4272300469483568
randn_vecs,HCPAge,GCNConv,23,0.26831053815432043,0.42990654205607476,0.4272300469483568
randn_vecs,HCPAge,GCNConv,24,0.2681243064419535,0.4392523364485981,0.4460093896713615
randn_vecs,HCPAge,GCNConv,25,0.2715932646853812,0.42990654205607476,0.431924882629108
randn_vecs,HCPAge,GCNConv,26,0.26991584917042877,0.4672897196261682,0.43661971830985913
randn_vecs,HCPAge,GCNConv,27,0.27025172806426184,0.4205607476635514,0.4413145539906103
randn_vecs,HCPAge,GCNConv,28,0.2669916463378292,0.4392523364485981,0.431924882629108
randn_vecs,HCPAge,GCNConv,29,0.27457543299502174,0.45794392523364486,0.43661971830985913
randn_vecs,HCPAge,GCNConv,30,0.26576567304214377,0.40186915887850466,0.4507042253521127
randn_vecs,HCPAge,GCNConv,31,0.26843910065273313,0.40186915887850466,0.431924882629108
randn_vecs,HCPAge,GCNConv,32,0.26766454677453777,0.42990654205607476,0.4460093896713615
randn_vecs,HCPAge,GCNConv,33,0.2662430086391884,0.4392523364485981,0.4694835680751174
randn_vecs,HCPAge,GCNConv,34,0.27158999827084124,0.4672897196261682,0.431924882629108
randn_vecs,HCPAge,GCNConv,35,0.2684044303510013,0.4672897196261682,0.45539906103286387
randn_vecs,HCPAge,GCNConv,36,0.26858321116274636,0.45794392523364486,0.4413145539906103
randn_vecs,HCPAge,GCNConv,37,0.26776310141454607,0.45794392523364486,0.4460093896713615
randn_vecs,HCPAge,GCNConv,38,0.2614291248705563,0.4485981308411215,0.4131455399061033
randn_vecs,HCPAge,GCNConv,39,0.2615384802722291,0.42990654205607476,0.4460093896713615
randn_vecs,HCPAge,GCNConv,40,0.26078551783657716,0.4205607476635514,0.4507042253521127
randn_vecs,HCPAge,GCNConv,41,0.2669528212323285,0.4205607476635514,0.4460093896713615
randn_vecs,HCPAge,GCNConv,42,0.26368632772624895,0.42990654205607476,0.431924882629108
randn_vecs,HCPAge,GCNConv,43,0.2610572530119211,0.45794392523364486,0.4507042253521127
randn_vecs,HCPAge,GCNConv,44,0.25677133382566825,0.4205607476635514,0.4460093896713615
randn_vecs,HCPAge,GCNConv,45,0.26331414144311177,0.4392523364485981,0.4460093896713615
randn_vecs,HCPAge,GCNConv,46,0.259611113679489,0.4205607476635514,0.4413145539906103
randn_vecs,HCPAge,GCNConv,47,0.26154189573838404,0.4392523364485981,0.4413145539906103
randn_vecs,HCPAge,GCNConv,48,0.26518885801302505,0.4205607476635514,0.4460093896713615
randn_vecs,HCPAge,GCNConv,49,0.2610241639534099,0.4485981308411215,0.45539906103286387
randn_vecs,HCPAge,GCNConv,50,0.2625663660516675,0.4205607476635514,0.4460093896713615
randn_vecs,HCPAge,GCNConv,51,0.25738135040206395,0.4485981308411215,0.431924882629108
randn_vecs,HCPAge,GCNConv,52,0.26062743895805923,0.4672897196261682,0.4272300469483568
randn_vecs,HCPAge,GCNConv,53,0.25966877825308166,0.4672897196261682,0.4272300469483568
randn_vecs,HCPAge,GCNConv,54,0.2610399203812516,0.4672897196261682,0.431924882629108
randn_vecs,HCPAge,GCNConv,55,0.25827759240297665,0.4392523364485981,0.4460093896713615
randn_vecs,HCPAge,GCNConv,56,0.26261382831023045,0.4672897196261682,0.4225352112676056
randn_vecs,HCPAge,GCNConv,57,0.26169765483612983,0.48598130841121495,0.43661971830985913
randn_vecs,HCPAge,GCNConv,58,0.2651740198167378,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,GCNConv,59,0.2636153585958801,0.4392523364485981,0.4460093896713615
randn_vecs,HCPAge,GCNConv,60,0.25818043547188674,0.42990654205607476,0.4507042253521127
randn_vecs,HCPAge,GCNConv,61,0.254187262378283,0.42990654205607476,0.45539906103286387
randn_vecs,HCPAge,GCNConv,62,0.256541632245851,0.4205607476635514,0.45539906103286387
randn_vecs,HCPAge,GCNConv,63,0.2625534310436889,0.4392523364485981,0.45539906103286387
randn_vecs,HCPAge,GCNConv,64,0.25915380124277715,0.45794392523364486,0.4460093896713615
randn_vecs,HCPAge,GCNConv,65,0.25716053695486696,0.4205607476635514,0.4272300469483568
randn_vecs,HCPAge,GCNConv,66,0.2555513660379704,0.411214953271028,0.431924882629108
randn_vecs,HCPAge,GCNConv,67,0.2581842294475376,0.411214953271028,0.4460093896713615
randn_vecs,HCPAge,GCNConv,68,0.26012611661181356,0.411214953271028,0.4272300469483568
randn_vecs,HCPAge,GCNConv,69,0.2536050502085846,0.40186915887850466,0.4460093896713615
randn_vecs,HCPAge,GCNConv,70,0.2604198329400696,0.4392523364485981,0.4413145539906103
randn_vecs,HCPAge,GCNConv,71,0.25567030690660414,0.42990654205607476,0.4647887323943662
randn_vecs,HCPAge,GCNConv,72,0.2558188525622323,0.40186915887850466,0.45539906103286387
randn_vecs,HCPAge,GCNConv,73,0.2515431740139955,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,GCNConv,74,0.25877755976363315,0.45794392523364486,0.43661971830985913
randn_vecs,HCPAge,GCNConv,75,0.2527486784346152,0.4205607476635514,0.45539906103286387
randn_vecs,HCPAge,GCNConv,76,0.2521956134962556,0.4205607476635514,0.4413145539906103
randn_vecs,HCPAge,GCNConv,77,0.24817818043215964,0.4392523364485981,0.45539906103286387
randn_vecs,HCPAge,GCNConv,78,0.24889685019550709,0.4205607476635514,0.4507042253521127
randn_vecs,HCPAge,GCNConv,79,0.2514572999621398,0.4205607476635514,0.460093896713615
randn_vecs,HCPAge,GCNConv,80,0.25401441154864013,0.48598130841121495,0.460093896713615
randn_vecs,HCPAge,GCNConv,81,0.25360731654519203,0.4485981308411215,0.4460093896713615
randn_vecs,HCPAge,GCNConv,82,0.24876989630244722,0.48598130841121495,0.4225352112676056
randn_vecs,HCPAge,GCNConv,83,0.25128638776356743,0.45794392523364486,0.4413145539906103
randn_vecs,HCPAge,GCNConv,84,0.2499526179076841,0.45794392523364486,0.4788732394366197
randn_vecs,HCPAge,GCNConv,85,0.25148605428286047,0.411214953271028,0.4507042253521127
randn_vecs,HCPAge,GCNConv,86,0.24787518906113284,0.45794392523364486,0.4460093896713615
randn_vecs,HCPAge,GCNConv,87,0.24937478399916782,0.45794392523364486,0.45539906103286387
randn_vecs,HCPAge,GCNConv,88,0.2500614437480901,0.48598130841121495,0.4647887323943662
randn_vecs,HCPAge,GCNConv,89,0.25077524585211836,0.4392523364485981,0.4507042253521127
randn_vecs,HCPAge,GCNConv,90,0.2513782671633983,0.4392523364485981,0.460093896713615
randn_vecs,HCPAge,GCNConv,91,0.2518941984080628,0.42990654205607476,0.4507042253521127
randn_vecs,HCPAge,GCNConv,92,0.2476996292203865,0.4392523364485981,0.45539906103286387
randn_vecs,HCPAge,GCNConv,93,0.24372294181145276,0.4485981308411215,0.4413145539906103
randn_vecs,HCPAge,GCNConv,94,0.2499854187837383,0.4392523364485981,0.4413145539906103
randn_vecs,HCPAge,GCNConv,95,0.250233695731067,0.4672897196261682,0.4413145539906103
randn_vecs,HCPAge,GCNConv,96,0.24705831508508463,0.45794392523364486,0.4507042253521127
randn_vecs,HCPAge,GCNConv,97,0.24606844802830843,0.4953271028037383,0.45539906103286387
randn_vecs,HCPAge,GCNConv,98,0.24625766237310115,0.514018691588785,0.4413145539906103
randn_vecs,HCPAge,GCNConv,99,0.24281426340141551,0.4953271028037383,0.4507042253521127
randn_vecs,HCPAge,GraphConv,0,0.2948850639714491,0.38317757009345793,0.4131455399061033
randn_vecs,HCPAge,GraphConv,1,0.2907214778381706,0.4392523364485981,0.4084507042253521
randn_vecs,HCPAge,GraphConv,2,0.2858552803129158,0.37383177570093457,0.4507042253521127
randn_vecs,HCPAge,GraphConv,3,0.2853165226494706,0.34579439252336447,0.431924882629108
randn_vecs,HCPAge,GraphConv,4,0.2887034272187508,0.4205607476635514,0.4413145539906103
randn_vecs,HCPAge,GraphConv,5,0.2804800371995708,0.34579439252336447,0.4084507042253521
randn_vecs,HCPAge,GraphConv,6,0.2776888979361361,0.34579439252336447,0.4225352112676056
randn_vecs,HCPAge,GraphConv,7,0.2795698197896049,0.40186915887850466,0.37089201877934275
randn_vecs,HCPAge,GraphConv,8,0.2747145392750734,0.3925233644859813,0.39906103286384975
randn_vecs,HCPAge,GraphConv,9,0.27977536956735904,0.4485981308411215,0.4460093896713615
randn_vecs,HCPAge,GraphConv,10,0.27620541649376784,0.4672897196261682,0.40375586854460094
randn_vecs,HCPAge,GraphConv,11,0.27932969499754423,0.4672897196261682,0.4272300469483568
randn_vecs,HCPAge,GraphConv,12,0.2825693904153453,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,GraphConv,13,0.27956632351715294,0.411214953271028,0.4225352112676056
randn_vecs,HCPAge,GraphConv,14,0.27489602525762263,0.45794392523364486,0.41784037558685444
randn_vecs,HCPAge,GraphConv,15,0.2844293997591774,0.4392523364485981,0.43661971830985913
randn_vecs,HCPAge,GraphConv,16,0.27652024038686046,0.411214953271028,0.43661971830985913
randn_vecs,HCPAge,GraphConv,17,0.2742116149639923,0.3925233644859813,0.4460093896713615
randn_vecs,HCPAge,GraphConv,18,0.2713949397906361,0.3644859813084112,0.4084507042253521
randn_vecs,HCPAge,GraphConv,19,0.2751958351007244,0.411214953271028,0.4507042253521127
randn_vecs,HCPAge,GraphConv,20,0.27189001084974146,0.4392523364485981,0.460093896713615
randn_vecs,HCPAge,GraphConv,21,0.269800536904559,0.4672897196261682,0.4084507042253521
randn_vecs,HCPAge,GraphConv,22,0.2727434465549136,0.4485981308411215,0.43661971830985913
randn_vecs,HCPAge,GraphConv,23,0.27383064639648336,0.4392523364485981,0.4225352112676056
randn_vecs,HCPAge,GraphConv,24,0.2720589756165575,0.4205607476635514,0.43661971830985913
randn_vecs,HCPAge,GraphConv,25,0.2653726581759101,0.42990654205607476,0.4413145539906103
randn_vecs,HCPAge,GraphConv,26,0.2679259402639914,0.42990654205607476,0.4507042253521127
randn_vecs,HCPAge,GraphConv,27,0.266768206525969,0.42990654205607476,0.4460093896713615
randn_vecs,HCPAge,GraphConv,28,0.26662115218655374,0.4205607476635514,0.431924882629108
randn_vecs,HCPAge,GraphConv,29,0.2690063594171665,0.4205607476635514,0.43661971830985913
randn_vecs,HCPAge,GraphConv,30,0.2746172547340393,0.411214953271028,0.4507042253521127
randn_vecs,HCPAge,GraphConv,31,0.2686442769613842,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,GraphConv,32,0.26987519944274185,0.42990654205607476,0.4272300469483568
randn_vecs,HCPAge,GraphConv,33,0.2703127670608111,0.411214953271028,0.431924882629108
randn_vecs,HCPAge,GraphConv,34,0.2641740913359111,0.4392523364485981,0.4131455399061033
randn_vecs,HCPAge,GraphConv,35,0.25872160884357936,0.4392523364485981,0.40375586854460094
randn_vecs,HCPAge,GraphConv,36,0.25709270110866367,0.4205607476635514,0.431924882629108
randn_vecs,HCPAge,GraphConv,37,0.2616379243415474,0.411214953271028,0.43661971830985913
randn_vecs,HCPAge,GraphConv,38,0.26435014673527457,0.4205607476635514,0.431924882629108
randn_vecs,HCPAge,GraphConv,39,0.26583169522701494,0.42990654205607476,0.43661971830985913
randn_vecs,HCPAge,GraphConv,40,0.26068387399583853,0.42990654205607476,0.4507042253521127
randn_vecs,HCPAge,GraphConv,41,0.2613454335487929,0.42990654205607476,0.4460093896713615
randn_vecs,HCPAge,GraphConv,42,0.2623531830390828,0.4953271028037383,0.43661971830985913
randn_vecs,HCPAge,GraphConv,43,0.26445742741527173,0.514018691588785,0.40375586854460094
randn_vecs,HCPAge,GraphConv,44,0.26155733438146195,0.4672897196261682,0.4084507042253521
randn_vecs,HCPAge,GraphConv,45,0.2634939663362183,0.514018691588785,0.4084507042253521
randn_vecs,HCPAge,GraphConv,46,0.256488290169095,0.4485981308411215,0.43661971830985913
randn_vecs,HCPAge,GraphConv,47,0.25945253900233534,0.4392523364485981,0.431924882629108
randn_vecs,HCPAge,GraphConv,48,0.2585602932328346,0.4672897196261682,0.41784037558685444
randn_vecs,HCPAge,GraphConv,49,0.25564248625864117,0.4766355140186916,0.4225352112676056
randn_vecs,HCPAge,GraphConv,50,0.2604767708170334,0.4485981308411215,0.431924882629108
randn_vecs,HCPAge,GraphConv,51,0.26078146408068253,0.38317757009345793,0.43661971830985913
randn_vecs,HCPAge,GraphConv,52,0.2617658499903327,0.4485981308411215,0.4507042253521127
randn_vecs,HCPAge,GraphConv,53,0.26863934825730806,0.4953271028037383,0.4647887323943662
randn_vecs,HCPAge,GraphConv,54,0.26110859605289943,0.4392523364485981,0.4225352112676056
randn_vecs,HCPAge,GraphConv,55,0.2612952986819632,0.4392523364485981,0.43661971830985913
randn_vecs,HCPAge,GraphConv,56,0.25660028833670906,0.45794392523364486,0.41784037558685444
randn_vecs,HCPAge,GraphConv,57,0.25558023388753803,0.45794392523364486,0.4272300469483568
randn_vecs,HCPAge,GraphConv,58,0.2556632936400855,0.42990654205607476,0.4272300469483568
randn_vecs,HCPAge,GraphConv,59,0.2566276542292345,0.4672897196261682,0.38497652582159625
randn_vecs,HCPAge,GraphConv,60,0.2524798380448514,0.4205607476635514,0.4413145539906103
randn_vecs,HCPAge,GraphConv,61,0.25283057409644927,0.4485981308411215,0.4272300469483568
randn_vecs,HCPAge,GraphConv,62,0.25974206852432863,0.4485981308411215,0.431924882629108
randn_vecs,HCPAge,GraphConv,63,0.256582155803706,0.4392523364485981,0.431924882629108
randn_vecs,HCPAge,GraphConv,64,0.2571334018803283,0.42990654205607476,0.4084507042253521
randn_vecs,HCPAge,GraphConv,65,0.2547722268424578,0.4205607476635514,0.4413145539906103
randn_vecs,HCPAge,GraphConv,66,0.25188955668635016,0.45794392523364486,0.4272300469483568
randn_vecs,HCPAge,GraphConv,67,0.25100493951131836,0.42990654205607476,0.4507042253521127
randn_vecs,HCPAge,GraphConv,68,0.24712600091959805,0.45794392523364486,0.431924882629108
randn_vecs,HCPAge,GraphConv,69,0.2533027948949161,0.4392523364485981,0.4460093896713615
